Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
PI_447054_R2	Sanger / Illumina 1.9	101	17919323	22	47	23.40309903054621	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_447100_R1	Sanger / Illumina 1.9	100	15385001	19	49	73.47595685436269	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_447100_R2	Sanger / Illumina 1.9	100	15385001	19	49	74.01755119518097	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_447137_R2	Sanger / Illumina 1.9	100	12934022	16	49	76.85555364768194	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_447137_R1	Sanger / Illumina 1.9	100	12934022	16	48	76.15614129987502	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_449279_R1	Sanger / Illumina 1.9	100	15564018	19	48	72.1938457339302	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_449279_R2	Sanger / Illumina 1.9	100	15564018	19	49	72.75020292051822	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_467412_R1	Sanger / Illumina 1.9	101	9634789	12	46	69.7921959034953	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	WARN	PASS	PASS	PASS
PI_467416_R1	Sanger / Illumina 1.9	126	28725902	45	46	34.281072822591874	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_467412_R2	Sanger / Illumina 1.9	101	9634789	12	46	72.66010256314537	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_467416_R2	Sanger / Illumina 1.9	126	28725902	45	46	37.34784977457827	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_467422_R2	Sanger / Illumina 1.9	101	9539458	12	46	76.52363980231792	PASS	PASS	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
PI_467422_R1	Sanger / Illumina 1.9	101	9539458	12	46	73.57534867064925	PASS	WARN	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	FAIL
PI_467729_R1	Sanger / Illumina 1.9	101	17916856	22	46	20.80402844299894	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
PI_467729_R2	Sanger / Illumina 1.9	101	17916856	22	47	23.17728743608007	PASS	WARN	PASS	PASS	FAIL	PASS	PASS	FAIL	PASS	PASS	PASS
