0%	0
1%	3
2%	6
3%	7
4%	9
5%	12
6%	12
7%	14
8%	15
9%	15
10%	18
11%	18
12%	18
13%	21
14%	21
15%	21
16%	21
17%	24
18%	24
19%	24
20%	27
21%	27
22%	27
23%	27
24%	30
25%	30
26%	30
27%	30
28%	33
29%	33
30%	33
31%	33
32%	36
33%	36
34%	36
35%	36
36%	39
37%	39
38%	39
39%	42
40%	42
41%	42
42%	42
43%	45
44%	45
45%	45
46%	48
47%	48
48%	48
49%	51
50%	51
51%	51
52%	54
53%	54
54%	54
55%	57
56%	57
57%	57
58%	60
59%	60
60%	60
61%	60
62%	60
63%	63
64%	66
65%	69
66%	72
67%	72
68%	72
69%	72
70%	75
71%	81
72%	81
73%	81
74%	84
75%	90
76%	90
77%	91
78%	96
79%	99
80%	99
81%	99
82%	99
83%	99
84%	99
85%	99
86%	99
87%	99
88%	99
89%	99
90%	99
91%	99
92%	99
93%	99
94%	99
95%	99
96%	99
97%	99
98%	99
99%	99
100%	99
