0%	0
1%	1
2%	1
3%	1
4%	1
5%	1
6%	1
7%	2
8%	2
9%	2
10%	2
11%	2
12%	2
13%	2
14%	2
15%	3
16%	3
17%	3
18%	3
19%	3
20%	3
21%	3
22%	4
23%	4
24%	4
25%	4
26%	4
27%	4
28%	4
29%	5
30%	5
31%	5
32%	5
33%	5
34%	5
35%	6
36%	6
37%	6
38%	6
39%	6
40%	6
41%	7
42%	7
43%	7
44%	7
45%	8
46%	8
47%	8
48%	8
49%	8
50%	9
51%	9
52%	9
53%	9
54%	10
55%	10
56%	10
57%	11
58%	11
59%	11
60%	12
61%	12
62%	12
63%	13
64%	13
65%	14
66%	14
67%	15
68%	15
69%	16
70%	16
71%	17
72%	17
73%	18
74%	18
75%	19
76%	20
77%	20
78%	21
79%	22
80%	23
81%	24
82%	25
83%	26
84%	27
85%	29
86%	30
87%	32
88%	34
89%	35
90%	36
91%	37
92%	38
93%	40
94%	42
95%	45
96%	49
97%	58
98%	73
99%	104
100%	3889
