0%	0
1%	0
2%	3
3%	6
4%	7
5%	9
6%	11
7%	12
8%	12
9%	15
10%	15
11%	15
12%	18
13%	18
14%	18
15%	21
16%	21
17%	21
18%	23
19%	24
20%	24
21%	24
22%	27
23%	27
24%	27
25%	27
26%	30
27%	30
28%	30
29%	30
30%	33
31%	33
32%	33
33%	35
34%	36
35%	36
36%	36
37%	39
38%	39
39%	39
40%	40
41%	42
42%	42
43%	42
44%	45
45%	45
46%	45
47%	48
48%	48
49%	48
50%	51
51%	51
52%	54
53%	54
54%	54
55%	57
56%	57
57%	60
58%	60
59%	60
60%	60
61%	60
62%	63
63%	64
64%	69
65%	72
66%	72
67%	72
68%	75
69%	78
70%	81
71%	81
72%	84
73%	87
74%	90
75%	90
76%	96
77%	99
78%	99
79%	99
80%	99
81%	99
82%	99
83%	99
84%	99
85%	99
86%	99
87%	99
88%	99
89%	99
90%	99
91%	99
92%	99
93%	99
94%	99
95%	99
96%	99
97%	99
98%	99
99%	99
100%	99
