INDV    N_COMMON_CALLED N_DISCORD       DISCORDANCE
PI_447100	3743	224	0.059845
PI_290193	3733	223	0.0597375
PI_328485	3736	222	0.0594218
PI_361609	3732	221	0.0592176
PI_428411	3774	223	0.0590885
PI_190790	3737	220	0.0588708
PI_392464	3746	219	0.0584624
PI_190711	3805	222	0.0583443
PI_328632	3693	209	0.0565936
PI_94875	3696	206	0.0557359
PI_39590	3738	208	0.0556447
PI_286388	3737	206	0.0551244
PI_282616	3766	205	0.0544344
CIho_14319	3745	203	0.0542056
PI_327859	3729	200	0.0536337
PI_390281	3724	194	0.0520945
PI_467733	3516	181	0.051479
